Symbol,"DFT
LDA
Etot","DFT
LDA
Ekin","DFT
LDA
Ecoul","DFT
LDA
Eenuc","DFT
LDA
Exc","DFT
LSD
Etot","DFT
LSD
Ekin","DFT
LSD
Ecoul","DFT
LSD
Eenuc","DFT
LSD
Exc","DFT
RLDA
Etot","DFT
RLDA
Ekin","DFT
RLDA
Ecoul","DFT
RLDA
Eenuc","DFT
RLDA
Exc","DFT
ScRLDA
Etot","DFT
ScRLDA
Ekin","DFT
ScRLDA
Ecoul","DFT
ScRLDA
Eenuc","DFT
ScRLDA
Exc"
Pm,-8917.664369,8913.501128,3508.213147,-21136.96521,-202.413435,-8917.715777,8913.557171,3508.76041,-21137.55232,-202.481035,-9221.365895,9888.073716,3581.618082,-22495.98099,-195.076708,-9216.171403,9758.787593,3574.336016,-22354.74568,-194.549335
Sm,-10031.25909,10026.81273,3962.921783,-23800.75332,-220.24029,-10031.4837,10027.05576,3964.545812,-23802.56988,-220.515387,-10410.18058,11252.09677,4050.499508,-25501.10975,-211.667105,-10403.01064,11085.76408,4041.462756,-25319.18303,-211.054438
Eu,-10419.71078,10415.16816,4124.189856,-24732.67422,-226.394574,-10420.02315,10415.5054,4126.262363,-24735.01882,-226.772086,-10826.73244,11734.85217,4216.975716,-26561.18041,-217.379906,-10818.77529,11554.33129,4207.288219,-26363.65707,-216.737721
Gd,-10816.65388,10812.02673,4273.725204,-25670.16534,-232.24047,-10817.01559,10812.4169,4275.692791,-25672.46298,-232.662302,-11253.52121,12232.34522,4373.774424,-27636.82258,-222.818285,-11244.70168,12036.50707,4363.353887,-27422.41821,-222.144431
Tb,-11222.94198,11218.20435,4461.481521,-26663.60914,-239.018708,-11223.10804,11218.38298,4462.363967,-26664.6398,-239.215183,-11691.12275,12744.67195,4565.424762,-28772.14567,-229.073799,-11681.36659,12532.65526,4554.327455,-28539.97812,-228.371181
Dy,-11637.86966,11633.03335,4637.607532,-27663.02195,-245.488603,-11637.97778,11633.14945,4638.134758,-27663.64641,-245.615571,-12139.25785,13272.51468,4747.510671,-29924.22927,-235.053929,-12128.47812,13043.05733,4735.651061,-29672.86601,-234.320497
Ho,-12061.77055,12056.8348,4818.79662,-28685.33803,-252.063945,-12061.83232,12056.90102,4819.075824,-28685.67313,-252.136035,-12598.22165,13816.19098,4934.922054,-31108.21228,-241.122405,-12586.32715,13568.0689,4922.259676,-30836.29789,-240.357836
Er,-12494.7183,12489.6824,5005.110005,-29730.76571,-258.745003,-12494.74615,12489.71221,5005.227549,-29730.90858,-258.777332,-13068.1692,14376.13084,5127.726897,-32324.74796,-247.278978,-13055.06184,14108.04266,5114.219595,-32030.84108,-246.483018
Tm,-12936.78649,12931.64974,5196.611124,-30799.51525,-265.532099,-12936.79355,12931.65727,5196.639086,-30799.54966,-265.540251,-13549.25854,14952.78251,5325.995668,-33574.51328,-253.523438,-13534.83286,14663.34475,5311.599603,-33257.08131,-252.695905
Yb,-13388.04859,13382.8103,5393.365097,-31891.7984,-272.425592,-13388.04859,13382.8103,5393.365097,-31891.7984,-272.425592,-14041.65086,15546.61383,5529.800732,-34858.20984,-259.855592,-14025.79358,15234.35556,5514.47037,-34515.62313,-258.996388
