,material_id,formula_unedited,formula,space group,target
176,933,0.51Li2O-0.01Al2O3-0.08TiO2-0.4P2O5,Al0.02Li1.02O2.7P0.8Ti0.08,,-6.801342913045577
177,11,Li0.39La0.54TiO3,Li0.39La0.54TiO3,,-2.9789880363755663
178,117,Li3.1Si0.55S0.45O4,Li3.1Si0.55S0.45O4,62.0,-6.503070351926785
179,325,Li1.3Ti2Si0.3P2.7O12,Li1.3Ti2Si0.3P2.7O12,167.0,-3.494850021680094
180,876,0.4 LiBr-0.3 SiS2-0.3 Li2S,Br0.4LiS0.9Si0.3,,-3.958607314841775
181,928,0.9(0.6Li2S-0.4SiS2)-0.1Li2SO4,Li1.28S1.44Si0.4O0.4,,-4.327902142064283
182,25,Li4SiO4,Li4SiO4,11.0,-9.30102999566398
183,231,Li10GePS12,Li10GePS12,137.0,-1.91721462968355
184,205,Li0.68La0.49TiO3,Li0.68La0.49TiO3,123.0,-2.9871627752948275
185,983,0.75(0.5Li2O-0.5Li2S)-0.25P2S5,Li1.75O0.375S1.75P0.5,,-4.548213564475709
186,430,Li3(NH2)2I,Li3N2H4I,186.0,-5.0
187,777,Li10(Ge0.5Sn0.5)P2S12,Li10Ge0.5Sn0.5P2S12,,-2.2097148359667584
188,1084,Li3.4Ge0.4P0.6S3.2Se0.8,Li3.4Ge0.4P0.6S3.2Se0.8,,-2.9318141382538383
189,1298,La0.55Li0.36Ti0.995Al0.005O3,La0.55Li0.36Ti0.995Al0.005O3,,-2.958607314841775
190,864,(2Li2S-P2S5)0.60(LiI)0.40,Li2.8P1.2S4.2I0.4,,-3.1191864077192086
191,70,Li6Zr2O7,Li6Zr2O7,15.0,-9.2839966563652
192,655,Li5.2La3Nb1.9Y0.1O12,Li5.2La3Nb1.9Y0.1O12,230.0,-4.1944991418416
193,659,Li6Ba0.5Sr0.5La2Ta2O12,Li6Ba0.5Sr0.5La2Ta2O12,230.0,-5.1487416512809245
194,239,Li3.285Sn0.28P0.72S4,Li3.285Sn0.28P0.72S4,137.0,-2.360513510731414
195,31,Li1.2Sc0.2Ti1.8(PO4)3,Li1.2Sc0.2Ti1.8P3O12,167.0,-3.773654543693338
196,843,Li3OHCl2,Li3OHCl2,,-7.049635145623877
197,1115,0.25Li2S-0.5Li2O-0.25P2S5,Li1.5O0.5P0.5S1.5,,-4.42021640338319
198,726,Li2.8Ca0.1InBr6,Li2.8Ca0.1InBr6,,-3.5228787452803374
199,208,Li0.36La0.55TiO3,Li0.36La0.55TiO3,123.0,-3.0296531237699065
200,528,(La0.402Li0.368Sr0.230)(TiO3),La0.402Li0.368Sr0.23TiO3,221.0,-4.542118103266008
201,1219,Li3.5As0.5Ge0.5O4,Li3.5As0.5Ge0.5O4,,-4.548213564475709
202,839,Li3(OH)2Cl,Li3O2H2Cl,,-7.565431095965801
203,116,Li6PS5Cl,Li6PS5Cl,216.0,-3.9846293877759393
204,1031,Li7La3Zr2O12?5 wt% LiPO3,Li15La6Zr4PO27,,-5.6020599913279625
205,772,Li10(Ge0.2Si0.8)P2S12,Li10Ge0.2Si0.8P2S12,,-2.317854923626168
206,350,Li1.4In0.4Ti1.6(PO4)3,Li1.4In0.4Ti1.6P3O12,167.0,-3.519993057042849
207,95,Li4GeS4,Li4GeS4,62.0,-6.698970004336019
208,174,Li2MgBr4,Li2MgBr4,65.0,-9.10790539730952
209,77,LiVO3,LiVO3,15.0,-8.688246138944246
210,102,Li6.2La3Zr1.2Ta0.8O12,Li6.2La3Zr1.2Ta0.8O12,230.0,-3.494850021680094
211,62,0.8Li2S-0.2P2S5,Li1.6S1.8P0.4,,-3.515474128012817
212,107,Li0.12La0.75TiO3,Li0.12La0.75TiO3,47.0,-3.623423042943488
213,1193,0.61Li2S-0.39SiS2,Li1.22S1.3900000000000001Si0.39,,-3.280668713016273
214,860,0.6 Li2S * 0.4 SiS2,Li1.2Si0.4S1.4,,-3.3010299956639813
215,85,Li3SbS3,Li3SbS3,33.0,-7.0
216,1035,0.667Li2S-0.333P2S5,Li1.334S2.332P0.666,,-4.4156687756324695
217,1274,Li0.5La0.5Ti0.96Sn0.04O3,Li0.5La0.5Ti0.96Sn0.04O3,,-3.4100503986742923
218,634,Li6La2SrBi2O12,Li6La2SrBi2O12,230.0,-4.2839966563652006
219,762,Li6La3ZrNbO12,Li6La3ZrNbO12,,-3.823908740944319
220,429,LiAlSiO4,LiAlSiO4,181.0,-8.698970004336019
221,327,Li1.5Ti2Si0.5P2.5O12,Li1.5Ti2Si0.5P2.5O12,167.0,-4.017728766960432
222,537,Li0.375Sr0.4375Zr0.25Ta0.75O3,Li0.375Sr0.4375Zr0.25Ta0.75O3,221.0,-3.6989700043360183
223,1105,0.6Li2S-0.2Li2O-0.2P2S5,Li1.6O0.2P0.4S1.6,,-3.9507819773298185
224,29,0.6Li2S-0.4SiS2,Li1.2S1.4Si0.4,,-3.5991237969617926
225,54,Li1.5Al0.5Ge1.5(PO4)3,Li1.5Al0.5Ge1.5P3O12,167.0,-3.49315853146928
226,39,0.9(0.6Li2S-0.4SiS2)-0.1Li3InO3,Li1.38S1.34Si0.4In0.1O0.3,,-4.165898393183549
227,24,Li7.22Si1.5P0.5O8,Li7.22Si1.5P0.5O8,11.0,-6.785156151952302
228,1019,Li6Si2S7,Li6Si2S7,,-3.3861581781239307
229,992,0.60Li2-0.4SiS2,Li1.2Si0.4S0.8,,-2.9244530386074694
230,1228,0.95LiTi2(PO4)3-0.05Li3PO4,Li1.1Ti1.9P2.8999999999999995O11.599999999999998,,-4.2580609222708015
231,399,Li1.3Cr0.3Ti0.7(PO4)3,Li1.3Cr0.3Ti0.7P3O12,167.0,-3.537602002101044
232,52,Li1.4Sc0.4Ti1.6(PO4)3,Li1.4Sc0.4Ti1.6P3O12,167.0,-4.15684053911074
233,927,0.95(0.6Li2S-0.4SiS2)-0.05Li2SO4,Li1.24S1.42Si0.4O0.2,,-3.343901797987168
234,343,Li1.4Fe0.4Ti1.6(PO4)3,Li1.4Fe0.4Ti1.6P3O12,167.0,-3.406713932979543
235,698,Li6.65La2.75Ba0.25Zr1.4Ta0.5Nb0.1O12,Li6.65La2.75Ba0.25Zr1.4Ta0.5Nb0.1O12,230.0,-3.2781893847874533
236,410,Li1.7Cr0.7Ge1.3(PO4)3,Li1.7Cr0.7Ge1.3P3O12,167.0,-4.609064892896621
237,1012,0.1LiI-0.9(0.6Li2S-0.4SiS2),Li1.18I0.1S1.34Si0.4,,-3.628932137728264
238,449,(Li0.55Mg0.45)(Li0.445Mg0.055)Ti1.5O4,Li0.55Mg0.45Li0.445Mg0.055Ti1.5O4,212.0,-10.8153085691824
239,482,Li6P(S4.5Se0.5)Br,Li6PS4.5Se0.5Br,216.0,-2.571865205971211
240,58,LiAlCl4,LiAlCl4,14.0,-6.0
